                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.11952,                0.10853,               0.022673,               0.017712,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.10781,                0.10802,               0.016424,               0.016458,                 0.0973,                 0.0003,                 0.0003
                      1,                0.11795,                0.10212,                0.02357,               0.017718,              0.0022428,                0.21622,              0.0018924,             0.00065227,              0.0005607,               0.054054,             0.00032659,             4.7762e-05,                0.10652,               0.080492,               0.016384,               0.016348,               0.093699,             0.00069937,             0.00069937
                      2,                0.11575,               0.078158,               0.024395,               0.017497,              0.0027166,                0.24324,              0.0023098,             0.00075156,              0.0015092,                0.13514,              0.0011814,             0.00035489,                0.10479,               0.042877,               0.015466,                0.01689,               0.090098,               0.001098,               0.001098
                      3,                0.11053,                0.04838,               0.025477,               0.016577,              0.0031682,                 0.2973,              0.0024671,             0.00082234,              0.0028802,                0.27027,              0.0019742,             0.00046249,               0.098827,               0.017439,               0.015633,               0.016644,               0.086496,               0.001496,               0.001496
                      4,                0.10019,               0.031089,               0.028135,               0.014994,              0.0045331,                0.54054,               0.004113,             0.00091624,              0.0038531,                0.45946,              0.0032773,             0.00083047,               0.090554,               0.013864,               0.015911,                0.01489,               0.082893,              0.0018932,              0.0018932
                      5,               0.091468,               0.024024,               0.027073,               0.012132,              0.0040923,                0.59459,              0.0050625,              0.0011116,              0.0039062,                0.56757,               0.004958,              0.0010309,               0.084224,               0.012106,               0.016106,               0.011614,                0.07929,              0.0022897,              0.0022897
                      6,               0.086668,               0.021735,               0.027893,              0.0088066,              0.0034353,                0.56757,              0.0074389,              0.0017757,              0.0035989,                0.59459,              0.0076483,              0.0017624,               0.082647,               0.012484,               0.016804,              0.0073737,               0.075685,              0.0026854,              0.0026854
                      7,               0.082687,               0.024151,               0.027717,              0.0058714,              0.0043318,                0.72973,              0.0083981,              0.0023708,              0.0041713,                 0.7027,              0.0074992,              0.0019757,               0.081353,                 0.0123,               0.016092,              0.0053906,                0.07208,              0.0030805,              0.0030805
                      8,               0.081425,               0.022059,               0.028809,              0.0043605,              0.0047801,                0.81081,              0.0070631,              0.0017132,              0.0049395,                0.83784,              0.0066323,              0.0015921,               0.080307,               0.012558,               0.015795,              0.0031943,               0.068475,              0.0034748,              0.0034748
                      9,               0.082245,               0.020574,               0.025435,              0.0035345,              0.0051419,                0.72973,                0.01126,              0.0033357,              0.0053323,                0.75676,               0.011571,              0.0030678,               0.081913,               0.011434,               0.014852,              0.0029494,               0.064868,              0.0038684,              0.0038684
                     10,               0.079808,               0.022887,               0.025969,              0.0028143,              0.0054339,                0.72973,              0.0071846,               0.002202,              0.0052327,                 0.7027,              0.0068255,              0.0021619,               0.082286,               0.012701,               0.014169,              0.0025108,               0.061261,              0.0042613,              0.0042613
                     11,               0.078499,               0.021563,               0.027618,              0.0025628,              0.0028571,                0.48649,              0.0025573,             0.00092069,              0.0031746,                0.54054,              0.0029869,             0.00098409,               0.083561,                0.01189,               0.014482,              0.0017038,               0.057653,              0.0046535,              0.0046535
                     12,                0.07812,               0.020507,               0.025326,              0.0022825,              0.0091518,               0.027027,               0.020529,               0.003895,               0.012369,                0.21622,              0.0094014,              0.0026226,               0.078795,               0.012827,               0.013138,              0.0090985,               0.054045,              0.0050449,              0.0050449
                     13,               0.077793,               0.021847,               0.025526,              0.0020522,              0.0048955,                 0.7027,              0.0091111,              0.0027082,              0.0047072,                0.67568,              0.0081233,              0.0024923,                0.08782,               0.017814,               0.011911,              0.0066422,               0.050436,              0.0054357,              0.0054357
                     14,               0.073071,               0.019874,               0.025912,              0.0018887,                0.25943,               0.081081,               0.062305,               0.013963,                0.23565,               0.081081,               0.062964,               0.013791,               0.077181,               0.010322,               0.013931,              0.0016088,               0.046826,              0.0058257,              0.0058257
                     15,               0.073612,               0.019761,               0.022868,              0.0018681,                0.15578,                0.13514,               0.056598,               0.011132,                0.13729,                0.13514,               0.057134,                0.01147,               0.070988,              0.0099241,                0.01601,              0.0010494,               0.043215,              0.0062149,              0.0062149
                     16,               0.074416,               0.019234,               0.022971,              0.0017403,                 0.0822,                0.13514,               0.038076,               0.010851,                0.11658,                0.18919,               0.083208,               0.014859,               0.068986,              0.0095848,               0.016963,              0.0010078,               0.039604,              0.0066035,              0.0066035
                     17,               0.072623,               0.020029,               0.022435,              0.0018595,               0.031475,               0.081081,               0.028248,              0.0081651,               0.041758,                0.16216,               0.029943,              0.0072415,               0.072719,              0.0099069,               0.017234,             0.00098167,               0.035991,              0.0069914,              0.0069914
                     18,               0.073315,               0.018278,                0.02257,              0.0018476,                0.22448,                0.16216,               0.087685,               0.022992,                0.23921,                0.16216,                0.10025,               0.023692,               0.074024,               0.011452,               0.014597,              0.0013078,               0.032378,              0.0073785,              0.0073785
                     19,               0.070136,               0.019658,               0.023504,                0.00169,                0.10634,                0.13514,               0.032183,              0.0094955,               0.097614,                0.13514,               0.032422,               0.010356,               0.072244,               0.012805,               0.018067,              0.0010712,               0.028765,              0.0077649,              0.0077649
                     20,               0.070249,               0.020171,               0.021195,              0.0014479,               0.064896,                0.16216,               0.050946,               0.018257,               0.082192,                0.14289,               0.057535,                0.01814,               0.071969,                0.01201,               0.019282,              0.0010931,               0.025151,              0.0081506,              0.0081506
