                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.03211,               0.024668,               0.011691,                      0,                0.84422,                0.81338,                0.84093,                0.48763,                0.84422,                0.81338,                0.86504,                0.54058,               0.032297,                0.02389,              0.0074635,                      0,                 0.0982,                 0.0002,                 0.0002
                      1,                0.03263,               0.025298,               0.013294,                      0,                0.94061,                0.79232,                0.85323,                0.55184,                0.94061,                0.79232,                0.85323,                 0.6005,               0.030082,               0.021086,              0.0062565,                      0,                 0.0955,             0.00049985,             0.00049985
                      2,               0.028857,               0.026032,               0.012455,                      0,                0.94564,                   0.75,                0.85191,                0.56818,                0.94564,                   0.75,                0.85191,                0.63929,               0.028579,               0.019352,              0.0057738,                      0,                 0.0928,             0.00079952,             0.00079952
                      3,               0.026926,               0.023646,               0.011757,                      0,                0.96367,                   0.75,                0.82631,                0.60298,                0.96367,                   0.75,                0.82631,                0.63189,               0.027246,               0.019072,              0.0060489,                      0,               0.090099,               0.001099,               0.001099
                      4,               0.028299,               0.024036,               0.011058,                      0,                0.98694,                   0.75,                0.87046,                0.65179,                0.98694,                   0.75,                0.87046,                0.65227,               0.026451,               0.018255,              0.0055742,                      0,               0.087398,              0.0013983,              0.0013983
                      5,               0.026411,               0.023595,               0.010843,                      0,                      1,                0.78743,                 0.8756,                 0.6168,                      1,                0.78743,                0.87655,                0.67061,               0.027043,                0.01768,              0.0054254,                      0,               0.084697,              0.0016974,              0.0016974
                      6,               0.026564,               0.020779,              0.0092303,                      0,                0.96859,                    0.8,                0.86671,                0.64342,                0.96859,                    0.8,                0.87151,                0.64794,               0.023946,               0.017893,              0.0054761,                      0,               0.081996,              0.0019964,              0.0019964
                      7,               0.024893,               0.021998,               0.010944,                      0,                 0.9858,                    0.8,                0.88006,                0.65891,                 0.9858,                    0.8,                0.88287,                0.64594,               0.023741,               0.017847,              0.0052525,                      0,               0.079295,              0.0022952,              0.0022952
                      8,               0.027408,               0.023741,               0.011026,                      0,                      1,                 0.7477,                0.87531,                0.65212,                      1,                 0.7477,                0.87789,                0.65252,               0.023252,               0.017112,              0.0052578,                      0,               0.076594,              0.0025938,              0.0025938
                      9,               0.025792,               0.021101,              0.0097918,                      0,                      1,                0.74239,                0.83996,                0.63453,                      1,                0.74239,                 0.8408,                0.64676,               0.023741,               0.017511,              0.0059741,                      0,               0.073892,              0.0028922,              0.0028922
                     10,               0.026897,               0.023387,               0.010838,                      0,                      1,                0.79852,                0.84821,                0.63521,                      1,                0.79852,                0.84821,                0.67552,                0.02395,               0.016626,              0.0055282,                      0,                0.07119,              0.0031904,              0.0031904
                     11,               0.028763,               0.021988,               0.010114,                      0,                      1,                 0.7469,                 0.8499,                0.65519,                      1,                 0.7469,                 0.8499,                0.64909,               0.024931,               0.016798,              0.0056256,                      0,               0.068488,              0.0034885,              0.0034885
                     12,               0.026398,               0.021603,              0.0094665,                      0,                0.99078,                    0.8,                0.85279,                0.65758,                0.99078,                    0.8,                0.85279,                0.66988,               0.023256,                0.01661,              0.0054307,                      0,               0.065786,              0.0037863,              0.0037863
                     13,                0.02628,               0.020868,              0.0097728,                      0,                0.98963,                    0.8,                0.84991,                0.67721,                0.98963,                    0.8,                0.84991,                 0.7055,               0.023917,               0.016528,              0.0053646,                      0,               0.063084,               0.004084,               0.004084
                     14,               0.027422,               0.020752,              0.0092414,                      0,                0.99401,                    0.8,                0.85171,                0.64765,                0.99401,                    0.8,                0.85171,                 0.6805,               0.024578,               0.016769,              0.0053613,                      0,               0.060382,              0.0043815,              0.0043815
                     15,               0.025591,               0.020394,              0.0098575,                      0,                0.99965,                    0.8,                0.87051,                0.63797,                0.99965,                    0.8,                0.85629,                0.66366,                0.02437,               0.016925,               0.005153,                      0,               0.057679,              0.0046789,              0.0046789
                     16,               0.028327,               0.022034,              0.0098585,                      0,                0.99864,                    0.8,                0.85128,                0.61975,                0.99864,                    0.8,                0.84136,                0.67774,               0.026753,               0.018455,              0.0059194,                      0,               0.054976,               0.004976,               0.004976
                     17,               0.028323,               0.019948,                0.00849,                      0,                      1,                0.79886,                0.83335,                0.62011,                      1,                0.79886,                0.83335,                0.64874,               0.024926,               0.018217,              0.0059634,                      0,               0.052273,               0.005273,               0.005273
                     18,               0.028499,               0.020948,              0.0088342,                      0,                0.99023,                    0.8,                0.81026,                0.60936,                0.99023,                    0.8,                0.81026,                0.62915,               0.027814,                0.01893,              0.0062104,                      0,                0.04957,              0.0055698,              0.0055698
                     19,               0.029034,               0.019547,              0.0087709,                      0,                0.98364,                    0.8,                0.83351,                0.57736,                0.98364,                    0.8,                0.83091,                0.62205,               0.027231,               0.018719,              0.0063066,                      0,               0.046866,              0.0058664,              0.0058664
                     20,               0.030084,               0.023148,               0.010491,                      0,                      1,                0.79743,                0.84093,                0.59268,                      1,                0.79743,                0.83912,                0.65045,               0.028283,               0.017451,              0.0056957,                      0,               0.044163,              0.0061628,              0.0061628
                     21,               0.028361,               0.020624,               0.010781,                      0,                 0.9941,                    0.8,                0.84825,                0.60166,                 0.9941,                    0.8,                0.84302,                0.65564,               0.025954,               0.017734,              0.0057825,                      0,               0.041459,               0.006459,               0.006459
                     22,               0.028609,               0.020581,              0.0097018,                      0,                0.97993,                    0.8,                0.84342,                0.60417,                0.97993,                    0.8,                0.85891,                0.64494,               0.025357,                0.01876,               0.005685,                      0,               0.038755,              0.0067551,              0.0067551
                     23,               0.028546,               0.021252,                0.01054,                      0,                0.99313,                    0.8,                0.81467,                0.52213,                0.99313,                    0.8,                0.81721,                0.64905,               0.029189,               0.019023,              0.0061724,                      0,               0.036051,               0.007051,               0.007051
                     24,               0.031063,               0.018532,              0.0088075,                      0,                0.99167,                    0.8,                0.81612,                0.60539,                0.99167,                    0.8,                0.81612,                0.61726,                0.02612,               0.018778,              0.0061403,                      0,               0.033347,              0.0073467,              0.0073467
                     25,               0.031067,               0.019342,               0.010112,                      0,                0.99028,                    0.8,                0.81014,                0.51329,                0.99028,                    0.8,                0.81014,                0.64319,               0.032637,               0.018576,              0.0059848,                      0,               0.030642,              0.0076423,              0.0076423
                     26,               0.033551,               0.021174,               0.010156,                      0,                0.98737,                   0.75,                 0.8226,                 0.6125,                0.98737,                   0.75,                0.83062,                0.62484,               0.023624,               0.017291,              0.0056697,                      0,               0.027938,              0.0079376,              0.0079376
                     27,               0.032026,               0.020218,              0.0087617,                      0,                0.93398,                    0.8,                0.80188,                0.57902,                0.93398,                    0.8,                0.80188,                0.66306,               0.027798,               0.017783,              0.0061216,                      0,               0.025233,              0.0082328,              0.0082328
                     28,                0.03264,               0.020171,              0.0095683,                      0,                0.99083,                    0.7,                0.80262,                0.51817,                0.99083,                    0.7,                0.80823,                0.58698,                0.02784,               0.019441,              0.0065769,                      0,               0.022528,              0.0085278,              0.0085278
